transaction_id,account_id,transaction_date,amount,transaction_type,category,description
1,1,2024-01-05,1500.00,Deposit,Payroll,Monthly salary
2,1,2024-01-08,-45.99,Withdrawal,Utilities,Electric bill
3,1,2024-01-12,-120.00,Withdrawal,Shopping,Online purchase
4,2,2024-01-03,2000.00,Deposit,Transfer,Savings deposit
5,2,2024-01-15,-500.00,Withdrawal,Transfer,Transfer to checking
6,3,2024-01-02,3200.00,Deposit,Payroll,Monthly salary
7,3,2024-01-10,-89.50,Withdrawal,Utilities,Internet bill
8,3,2024-01-18,-250.00,Withdrawal,Shopping,Groceries
9,3,2024-01-22,-75.00,Withdrawal,Dining,Restaurant
10,4,2024-01-07,1000.00,Deposit,Transfer,Monthly savings
11,4,2024-01-20,500.00,Deposit,Transfer,Bonus deposit
12,5,2024-01-04,2800.00,Deposit,Payroll,Monthly salary
13,5,2024-01-09,-150.00,Withdrawal,Utilities,Water bill
14,5,2024-01-14,-320.00,Withdrawal,Shopping,Electronics
15,5,2024-01-25,-60.00,Withdrawal,Dining,Coffee shop
16,1,2024-02-05,1500.00,Deposit,Payroll,Monthly salary
17,1,2024-02-10,-200.00,Withdrawal,Shopping,Clothing
18,2,2024-02-03,2000.00,Deposit,Transfer,Savings deposit
19,3,2024-02-02,3200.00,Deposit,Payroll,Monthly salary
20,3,2024-02-15,-400.00,Withdrawal,Shopping,Clothing
21,4,2024-02-07,1000.00,Deposit,Transfer,Monthly savings
22,5,2024-02-04,2800.00,Deposit,Payroll,Monthly salary
23,5,2024-02-12,-85.00,Withdrawal,Utilities,Phone bill
24,5,2024-02-18,-175.00,Withdrawal,Dining,Date night
25,1,2024-03-05,1500.00,Deposit,Payroll,Monthly salary
26,1,2024-03-08,-55.00,Withdrawal,Utilities,Gas bill
27,2,2024-03-03,2000.00,Deposit,Transfer,Savings deposit
28,2,2024-03-20,-300.00,Withdrawal,Shopping,Home goods
29,3,2024-03-02,3200.00,Deposit,Payroll,Monthly salary
30,3,2024-03-11,-110.00,Withdrawal,Utilities,Electric bill
